Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;93.02;0;960;6.98;0;0;0;0;0.62;0;0;
aicha-Vostro-3500;_ALL;_ALL;0;93.02;0;960;6.98;0;0;0;0;0.62;0;0;
aicha-Vostro-3500;29221;_ALL;0;93.02;0;960;6.98;0;0;0;0;0.62;0;0;
aicha-Vostro-3500;29221;29225;0;93.33;0;120;6.67;0;0;0;0;0.62;0;0;
aicha-Vostro-3500;29221;29223;0;92.5;0;120;7.5;0;0;0;0;0.62;0;0;
aicha-Vostro-3500;29221;29224;0;92.5;0;120;7.5;0;0;0;0;0.62;0;0;
aicha-Vostro-3500;29221;29226;0;92.5;0;120;7.5;0;0;0;0;0.62;0;0;
aicha-Vostro-3500;29221;29227;0;93.33;0;120;6.67;0;0;0;0;0.62;0;0;
aicha-Vostro-3500;29221;29229;0;92.5;0;120;7.5;0;0;0;0;0.62;0;0;
aicha-Vostro-3500;29221;29228;0;95;0;120;5;0;0;0;0;0.62;0;0;
aicha-Vostro-3500;29221;29221;0;92.5;0;120;7.5;0;0;0;0;0.62;0;0;
